"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
72322,1,"agohvsdiha","he, it's burning","agohvsga","","","vi","When the car overturned it started <u>burning</u>.","Dagwalela duhlihgwadina <u>agohvsgv</u> udalenvhvi.","ᏓᏆᎴᎳ ᏚᏟᏆᏗᎾ <u>ᎠᎪᎲᏍᎬ</u> ᎤᏓᎴᏅᎲᎢ.","ᎠᎪᎲᏍᎦ","gagohvsga","ᎦᎪᎲᏍᎦ","hagohna","ᎭᎪᎿ","ugohvsdi","ᎤᎪᎲᏍᏗ","ugohnvi","ᎤᎪᏅᎢ","agohvsgoi","ᎠᎪᎲᏍᎪᎢ","agohvsga","","daqualela dutliquadina agohvsgv udalenvhvi","gagohvsga","hagohna","ugohvsdi","ugonvi","agohvsgoi","a1go.3hv.2sga","","ga.3go.2hv.3sga","ha.2go.2hna","u2go.3hv.3sdi","u1go.2hnv23?i","a1go.3hv.2sgo3?i","ced","","","","","2018-12-22 15:42:24"
72323,3,"","perch","agola","anigola","ᎠᏂᎪᎳ","n","<u>Perch</u> are good to eat.","<u>Anigola</u> anosda digahyesdi.","<u>ᎠᏂᎪᎳ</u> ᎠᏃᏍᏓ ᏗᎦᏰᏍᏗ.","ᎠᎪᎳ","","","","","","","","","","","agola","anigola","anigola anosda digayesdi","","","","","","a.2go2la","a.2ni2go2la","","","","","","ced","","","","","2018-12-22 15:42:24"
72324,4,"","1. he's reading, 2. he's examining him, it","agoliyea","","","vt","<u>I am reading</u> a letter from a friend. The patient wanted a doctor <u>to examine him</u>.","Oginalii nidayunvnv gohwel <u>jigoliyea</u>. Aganakti <u>ugoliyedi</u> udulisgv udlvgi.","ᎣᎩᎾᎵᎢ ᏂᏓᏳᏅᏅ ᎪᏪᎵ <u>ᏥᎪᎵᏰᎠ</u>. ᎠᎦᎾᎦᏘ <u>ᎤᎪᎵᏰᏗ</u> ᎤᏚᎵᏍᎬ ᎤᏢᎩ.","ᎠᎪᎵᏰᎠ","jigoliyea, jigoliyea","ᏥᎪᎵᏰᎠ, ᏥᎪᎵᏰᎠ","higoliya, higoliya","ᎯᎪᎵᏯ, ᎯᎪᎵᏯ","ugoliyedi","ᎤᎪᎵᏰᏗ","ugoliyevi","ᎤᎪᎵᏰᎥᎢ","agoliyesgoi","ᎠᎪᎵᏰᏍᎪᎢ","agoliyea","","oginalii nidayunvnv goweli tsigoleyea aganagati ugoliyedi udulisgv utlvgi","","","ugoliyedi","ugoliyevi","agoliyesgoi","a1go2li23ye.3?a","","ji2go2li23ye.3?a, ji.2go2li23ye.3?a","hi2go2li23ya, hi.2go2li23ya","u2go2li23ye32di","u1go2li23ye.3?v23?i","a1go2li23ye32sgo3?i","ced","","","","","2018-12-22 15:42:25"
72325,1,"","famine","agona","","","n","Have you gone through <u>famine</u>?","<u>Agonas</u> jalosvhi?","<u>ᎠᎪᎾᏍ</u> ᏣᎶᏒᎯ?","ᎠᎪᎾ","","","","","","","","","","","agona","","agonas tsalosvhi","","","","","","a.2go2na","","","","","","","ced","","","","","2018-12-22 15:42:25"
72326,2,"","he's target practicing","agoniha","","","vi","<u>He's target practicing</u> with a new bow.","Ije gahljadi gvhdi <u>agoniha</u>.","ᎢᏤ ᎦᎵᏣᏗ ᎬᏗ <u>ᎠᎪᏂᎭ</u>.","ᎠᎪᏂᎭ","gagoniha","ᎦᎪᏂᎭ","hagona","ᎭᎪᎾ","ugonhdi","ᎤᎪᏅᏗ","ugonvhvi","ᎤᎪᏅᎲᎢ","agonisgoi","ᎠᎪᏂᏍᎪᎢ","agoniha","","itse galitsadi gvdi agoniha","gagoniha","hagona","ugonvdi","","agonisgoi","a3go2ni.3ha","","ga3go2ni.3ha","ha1go23na","u1gonh23di","u3go2nv2hv23?i","a3go2ni23sgo3?i","ced","","","","","2018-12-22 15:42:25"
72327,3,"agisdi, agosdi","lettuce","agosdagisdi","","","n","Rabbits ate up her <u>lettuce</u>.","Jisdu gvwsvhnelv <u>agosdagisdi</u>.","ᏥᏍᏚ ᎬᏩᏒᏁᎸ <u>ᎠᎪᏍᏓᎩᏍᏗ</u>.","ᎠᎪᏍᏓᎩᏍᏗ","","","","","","","","","","","agosdagisdi","","tsidu gvwasvnelv agosdagisdi","","","","","","a.2go3sda.2gi32sdi","","","","","","","ced","","","","","2018-12-22 15:42:25"
72328,1,"","raw","agosdi","anigosdi","ᎠᏂᎪᏍᏗ","adj","The lion ate some <u>raw</u> meat.","<u>Agosd</u> hawiya ugv hlvdaji.","<u>ᎠᎪᏍᏗ</u> ᎭᏫᏯ ᎤᎬ ᏢᏓᏥ.","ᎠᎪᏍᏗ","","","","","","","","","","","agosdi","anigosdi","agosdi hawiya ugv tlvdatsi","","","","","","a.2go4sdi","a.2ni2go4sdi","","","","","","ced","","","","","2018-12-22 15:42:25"
72329,1,"agowhtvhdi, agowhtvhdiha","he sees him, it","agowhtiha","","","vt","Don't <u>you see it</u>?","Hlas <u>hyigowhti</u>?","ᏝᏍ <u>ᏱᎪᏩᏘ</u>?","ᎠᎪᏩᏘᎭ","jigowhtiha, jigowhtiha","ᏥᎪᏩᏘᎭ, ᏥᎪᏩᏘᎭ","higowahta, higohwahta","ᎯᎪᏩᏔ, ᎯᎪᏩᏔ","ugowhtvhdi","ᎤᎪᏩᏛᏗ","ugohvi","ᎤᎪᎲᎢ","agowhtisgoi","ᎠᎪᏩᏘᏍᎪᎢ","agowatiha","","tlas yigowati","","","ugowatvdi","ugohvi","agowatisgoi","a1gowh2ti.3ha","","ji2gowh1ti.3ha, ji.2gowh1ti.2ha","hi2go1wah2ta, hi.2go2hwah2ta","u2gowh2tvh3di","u1go2hv23?i","a1gowh2ti23sgo.3?i","ced","","","","","2018-12-22 15:42:25"
72330,1,"agowhtiha, agowhtvhdiha","sight","agowhtvhdi","","","n","The green grass is really a beautiful <u>sight</u>.","Ije ganulvsv dohiyu uwoduhi <u>agowhtvhdi</u> gesoi.","ᎢᏤ ᎦᏄᎸᏒ ᏙᎯᏳ ᎤᏬᏚᎯ <u>ᎠᎪᏩᏛᏗ</u> ᎨᏐᎢ.","ᎠᎪᏩᏛᏗ","","","","","","","","","","","agowatvdi","","itse ganulvsv dohiyu uwotuhi agowatvdi gesoi","","","","","","a.2gowh23tvh2di","","","","","","","ced","","","","","2018-12-22 15:42:25"
72331,2,"agowhtiha, agowhtvhdi","he's showing it to him","agowhtvhdiha","","","vt","Your mother wants <u>to see</u> a picture of you.","Jejahlilostanv <u>ugowhtvhdi</u> uduli jaji.","ᏤᏣᏟᎶᏍᏔᏅ <u>ᎤᎪᏩᏛᏗ</u> ᎤᏚᎵ ᏣᏥ.","ᎠᎪᏩᏛᏗᎭ","jigowhtvhdiha","ᏥᎪᏩᏛᏗᎭ","higowhtvhda","ᎯᎪᏩᏛᏓ","ugowhtvhdohdi","ᎤᎪᏩᏛᏙᏗ","ugowhtvhtanvi","ᎤᎪᏩᏛᏔᏅᎢ","agowhtvhdisgoi","ᎠᎪᏩᏛᏗᏍᎪᎢ","agowatvdiha","","tsetsatlilostanv ugowatvdi utuli tsatsi","tsigowatvdiha","higowatvda","ugowatvdodi","ugowatvtanvi","agowatvdesgoi","a1gowh2tvh2di.3ha","","ji2gowh1tvh2di.3ha","hi2gowh1tvh2da","u2gowh2tvh2doh3di","u1gowh2tvh2ta.2nv3?i","a1gowh2tvh2di23sgo.3?i","ced","","","","","2018-12-22 15:42:25"
72332,1,"Gusoi","Creek (Indian)","Agusa","Anigusa","ᎠᏂᎫᏌ","n","This boy is a <u>Creek</u> Indian.","Hia achuja <u>Agusa</u> Ayvwiyai.","ᎯᎠ ᎠᏧᏣ <u>ᎠᎫᏌ</u> ᎠᏴᏫᏯᎢ.","ᎠᎫᏌ","","","","","","","","","","","agusa","anigusa","hia atsutsa agusa ayvwiyai","","","","","","A.2gu23sa","A.2ni2gu23sa","","","","","","ced","","","","","2018-12-22 15:42:25"
72333,1,"","his forehead","agvdageni","","","n","When the catcher missed catching the ball, it hit him on <u>his forehead</u>.","Ganiyisgi sgwahlesdi ganiyisgv dunvda <u>agvdageni</u> uwahnilvi.","ᎦᏂᏱᏍᎩ ᏍᏆᏞᏍᏗ ᎦᏂᏱᏍᎬ ᏚᏅᏓ <u>ᎠᎬᏓᎨᏂ</u> ᎤᏩᏂᎸᎢ.","ᎠᎬᏓᎨᏂ","","","","","","","","","","","agvdageni","","ganiyisgi squatlesdi ganiyisgv dunvda agvdageni uwanilvi","","","","","","a.2gv2da.2ge4ni","","","","","","","ced","","","","","2018-12-22 15:42:25"
72334,3,"agvhaluysga, agvhalvda","1. he's cutting it, 2. he's slicing it","agvhaliha","","","vt","<u>She cut</u> a pattern for a dress. <u>She's slicing</u> the cake with a knife.","Asano uwohlvhdi <u>ugvhalvhvi</u>. Hayelsdi gvhdi <u>agvhali</u> gadu uganasda.","ᎠᏌᏃ ᎤᏬᏢᏗ <u>ᎤᎬᎭᎸᎲᎢ</u>. ᎭᏰᎵᏍᏗ ᎬᏗ <u>ᎠᎬᎭᎵ</u> ᎦᏚ ᎤᎦᎾᏍᏓ.","ᎠᎬᎭᎵᎭ","jigvaliha","ᏥᎬᎠᎵᎭ","higvhala","ᎯᎬᎭᎳ","ugvhahldi","ᎤᎬᎭᏟᏗ","ugvhalvhvi","ᎤᎬᎭᎸᎲᎢ","agvhalisgoi","ᎠᎬᎭᎵᏍᎪᎢ","agvhaliha","","asano uwotlvdi ugvhalvhvi hayelisdi gvdi agvhali gadu uganasda","tsigvaliha","higvhala","ugvhatlidi","ugvhalvhvi","agvhalisgoi","a1gv2ha.2li.3ha","","ji.2gv2?a.2li.3ha","hi.2gv2ha.2la","u2gv2hahl2di","u1gv2ha.2lv2hv23?i","a1gv2ha.2li23sgo.3?i","ced","","","","","2018-12-22 15:42:26"
72335,1,"agvhaliha, galuysga","he's chopping it up","agvhaluysga","","","vt","<u>Chop</u> up some cabbage to cook.","Juganhdena gvhnisdohdi <u>higvhaluhya</u>.","ᏧᎦᏅᏕᎾ ᎬᏂᏍᏙᏗ <u>ᎯᎬᎭᎷᏯ</u>.","ᎠᎬᎭᎷᏯᏍᎦ","jigvaluysga","ᏥᎬᎠᎷᏯᏍᎦ","higvhaluhya","ᎯᎬᎭᎷᏯ","ugvhaluysdi","ᎤᎬᎭᎷᏯᏍᏗ","ugvhaluhyvi","ᎤᎬᎭᎷᏴᎢ","agvhaluysgoi","ᎠᎬᎭᎷᏯᏍᎪᎢ","agvhaluyasga","","tsuganvdena gvnisdodi higvhaluya","tsigvaluyasga","higvhaluya","ugvhaluyasdi","ugvhaluyvi","agvhaluyasgoi","a1gv2ha.3luy32sga","","ji.2gv.2?a.2luy32sga","hi.2gv2ha.2lu1hya","u2gv2ha.2luy1sdi","u1gv2ha.2lu32hyv23?i","a1gv2ha.2luy32sgo3?i","ced","","","","","2018-12-22 15:42:26"
72336,1,"agvhaliha","a piece of something that's been cut","agvhalvda","digvhalvda","ᏗᎬᎭᎸᏓ","adj","Give me <u>a piece of</u> cake.","Gadu uganasda <u>agvhalvda</u> skvsi.","ᎦᏚ ᎤᎦᎾᏍᏓ <u>ᎠᎬᎭᎸᏓ</u> ᏍᎬᏏ.","ᎠᎬᎭᎸᏓ","","","","","","","","","","","agvhalvda","digvhalvda","gadu uganasda agvhalvda sgvsi","","","","","","a.2gv2ha.2lv4da","di2gv2ha.2lv4da","","","","","","ced","","","","","2018-12-22 15:42:26"
72337,1,"gvhnagei","Black person, Negro","agvhnagei","anigvhnagei","ᎠᏂᎬᎿᎨᎢ","n","Is your friend a white person or <u>black</u>?","Ayonegas sdalii, <u>agvhnageike</u>?","ᎠᏲᏁᎦᏍ ᏍᏓᎵᎢ, <u>ᎠᎬᎿᎨᎢᎨ</u>?","ᎠᎬᎿᎨᎢ","","","","","","","","","","","agvhnagei","anigvhnagei","ayonegas sdalii agvhnageige","","","","","","a.2gv23hna.3ge4?i","a.2ni2gv23hna.3ge4?i","","","","","","ced","","","","","2018-12-22 15:42:26"
72338,2,"","he's scolding him","agvsgolvsga","","","vt","The man <u>is scolding</u> his son.","Na asgaya uweji achuja <u>agvsgolvsga</u>.","Ꮎ ᎠᏍᎦᏯ ᎤᏪᏥ ᎠᏧᏣ <u>ᎠᎬᏍᎪᎸᏍᎦ</u>.","ᎠᎬᏍᎪᎸᏍᎦ","jigvsgolvsga","ᏥᎬᏍᎪᎸᏍᎦ","higvsgolvvga","ᎯᎬᏍᎪᎸᎥᎦ","ugvsgolvdi","ᎤᎬᏍᎪᎸᏗ","ugvsgolvnvi","ᎤᎬᏍᎪᎸᏅᎢ","agvsgolvsgoi","ᎠᎬᏍᎪᎸᏍᎪᎢ","agvsgolvsga","","na asgaya uwetsi atsutsa agvsgolvsga","tsigvsgolvsga","higvsgolvvga","ugvsgolvdi","ugvsgolvnvi","agvsgolvsgoi","a1gv2sgo23lv32sga","","ji2gv1sgo23lv32sga","hi2gv1sgo2lv.2?v1ga","u2gv2sgo23lv32di","u1gv2sgo23lv32nv23?i","a1gv2sgo23lv32sgo3?i","ced","","","","","2018-12-22 15:42:26"
72339,2,"","he's washing his face","agvsgwoa","","","vi","A cat <u>washes its face</u> after it eats.","Wesa yulsdayvhnohna <u>agvsgwosgoi</u>.","ᏪᏌ ᏳᎵᏍᏓᏴᏃᎿ <u>ᎠᎬᏍᏉᏍᎪᎢ</u>.","ᎠᎬᏍᏉᎠ","gagvsgwoa","ᎦᎬᏍᏉᎠ","hagvsgwoja","ᎭᎬᏍᏉᏣ","ugvsgwosdi","ᎤᎬᏍᏉᏍᏗ","ugvsgwovi","ᎤᎬᏍᏉᎥᎢ","agvsgwosgoi","ᎠᎬᏍᏉᏍᎪᎢ","agvsquoa","","wesa yulisdayvnohna agvsquosgoi","gagvsquoa","hagvsquotsa","ugvsquosdi","ugvsquovi","agvsquosgoi","a1gv2sgwo3?a","","ga.2gv1sgwo3?a","ha.2gv2sgwo23ja","u2gv2sgwo1sdi","u1gv2sgwo3?v23?i","a1gv2sgwo3sgo3?i","ced","","","","","2018-12-22 15:42:26"
72340,1,"","(see agi-) first person subject (see Gram. I, B)","agw-","","","v. pref.","","","","","","","","","","","","","","","","","","","","","","","agw-","","","","","","","ced","","","","","2018-12-22 15:42:26"
72341,1,"","loudmouth","ahalada","dinihalada","ᏗᏂᎭᎳᏓ","n","Nobody likes a <u>loudmouth</u>.","Hla kilo yulvkwdi <u>ahalada</u>.","Ꮭ ᎩᎶ ᏳᎸᏉᏗ <u>ᎠᎭᎳᏓ</u>.","ᎠᎭᎳᏓ","","","","","","","","","","","ahalada","dinihalada","tla gilo yulvquodi ahalada","","","","","","a.2ha.2la4da","di2ni2ha.2la4da","","","","","","ced","","","","","2018-12-22 15:42:26"
72342,2,"","1.  he's diverting him, it, 2. he's flagging him, it down","ahalugiha","","","vt","<u>Flag</u> that car <u>down</u>.","<u>Hialugi</u> na dagwalela.","<u>ᎯᎠᎷᎩ</u> Ꮎ ᏓᏆᎴᎳ.","ᎠᎭᎷᎩᎭ","jialugia","ᏥᎠᎷᎩᎠ","hialugi","ᎯᎠᎷᎩ","uhalugisdi","ᎤᎭᎷᎩᏍᏗ","uhalugisvi","ᎤᎭᎷᎩᏒᎢ","ahalugisgoi","ᎠᎭᎷᎩᏍᎪᎢ","ahalugiha","","hialugi na daqualela","tsialugia","hialugi","uhalugisdi","uhalugisvi","ahalugisgoi","a1ha.2lu23gi.3?ha","","ji.2?a.2lu23gi.3?a","hi.2?a.2lu23gi","u2ha.2lu23gi32sdi","u1ha.2lu23gi.32sv23?i","a1ha.2lu23gi32sgo3?i","ced","","","","","2018-12-22 15:42:26"
72343,1,"na","here","ahani, ahni","","","adv","Let's meet <u>here</u> after a while.","<u>Ahani</u> donadlosvi kohi yvi.","<u>ᎠᎭᏂ</u> ᏙᎾᏠᏒᎢ ᎪᎯ ᏴᎢ.","ᎠᎭᏂ, ᎠᏂ","","","","","","","","","","","ahani, ani","","ahani donatlosvi gohi yvi","","","","","","a.3ha.2ni, a.3hni","","","","","","","ced","","","","","2018-12-22 15:42:26"
72344,1,"","deer","ahawi, ahwi","","","n","<u>Deer</u> meat is good to eat.","<u>Ahwi</u> hawiya osda agisdi.","<u>ᎠᏫ</u> ᎭᏫᏯ ᎣᏍᏓ ᎠᎩᏍᏗ.","ᎠᎭᏫ, ᎠᏫ","","","","","","","","","","","ahawi, awi","","awi hawiya osda agisdi","","","","","","a.2ha.2wi, a.2hwi","","","","","","","ced","","","","","2018-12-22 15:42:27"
72345,3,"","he's smothering him, it","ahawosdiha","","","vt","When I closed the window, <u>I smothered it</u>.","Jolani daksduhna <u>jiawostanvi</u>.","ᏦᎳᏂ ᏓᎦᏍᏚᎿ <u>ᏥᎠᏬᏍᏔᏅᎢ</u>.","ᎠᎭᏬᏍᏗᎭ","jiawosdiha","ᏥᎠᏬᏍᏗᎭ","hiawosda","ᎯᎠᏬᏍᏓ","uhawosdohdi","ᎤᎭᏬᏍᏙᏗ","uhawostanvi","ᎤᎭᏬᏍᏔᏅᎢ","ahawosdisgoi","ᎠᎭᏬᏍᏗᏍᎪᎢ","ahawosdiha","","tsolani dagasduhna tsiawostanvi","tsiwosdiha","","uhawosdodi","uhawostanvi","ahawosdisgoi","a1ha.2wo3sdi.2ha","","ji.2?a.2wo3sdi.2ha","hi.2?a.2wo1sda","u2ha.2wo1sdoh2di","u1ha.2wo3sta.2nv23?i","a1ha.2wo3sdi2sgo3?i","ced","","","","","2018-12-22 15:42:27"
72346,1,"","easy","ahida","dihida","ᏗᎯᏓ","adj","Some snakes are not <u>easy</u> to see.","Igada inada hla <u>ahida</u> yigi digowhtvhdi.","ᎢᎦᏓ ᎢᎾᏓ Ꮭ <u>ᎠᎯᏓ</u> ᏱᎩ ᏗᎪᏩᏛᏗ.","ᎠᎯᏓ","","","","","","","","","","","ahida","dihida","igada inada tla ahida yigi digowatvdi","","","","","","a.2hi4da","di2hi4da","","","","","","ced","","","","","2018-12-22 15:42:27"
72347,2,"gahnidoha, ganhjidoha, ganidoha","he's handling it, he has it in his hand","ahidoha","","","vt","What do <u>you have in your hand</u>?","Gado usdi <u>hihidoha</u>?","ᎦᏙ ᎤᏍᏗ <u>ᎯᎯᏙᎭ</u>?","ᎠᎯᏙᎭ","jiidoha","ᏥᎢᏙᎭ","hihida","ᎯᎯᏓ","uhidasdi","ᎤᎯᏓᏍᏗ","uhidolvi","ᎤᎯᏙᎸᎢ","ahidohoi","ᎠᎯᏙᎰᎢ","ahidoha","","gado usdi hihidoha","tsiidoha","hihida","uhidasdi","uhidolvi","ahidohoi","a1hi23do32ha","","ji.2?i23do32ha","hi.2hi23da","u2hi23da32sdi","u1hi23do32lv23?i","a1hi23do32ho3?i","ced","","","","","2018-12-22 15:42:27"
72348,2,"adahihi, didahihi","he's killing him, it","ahiha","","","vt","<u>I killed</u> seven squirrels when I went hunting.","Gahlgwogi iyanii saloli <u>degajilv</u> aginohalena.","ᎦᎵᏉᎩ ᎢᏯᏂᎢ ᏌᎶᎵ <u>ᏕᎦᏥᎸ</u> ᎠᎩᏃᎭᎴᎾ.","ᎠᎯᎭ","jiiha","ᏥᎢᎭ","hiluga","ᎯᎷᎦ","uhisdi","ᎤᎯᏍᏗ","uhlvi","ᎤᏢᎢ","ahihoi","ᎠᎯᎰᎢ","ahiha","","galiquogi  iyanii saloli degatsilv aginohalena","tsiiha","hiluga","uhisdi","utlvi","ahihoi","a1hi.3ha","","ji.2?i.3ha","hi2lu1ga","u2hi.2sdi","u1hlv23?i","a1hi.2ho3?i","ced","","","","","2018-12-22 15:42:27"
72349,1,"ahilvsdii","he has possession of a vehicle","ahileha","","","vt","<u>He's driving</u> his dad's car.","Udoda ujeli dagwalela <u>ahileha</u>.","ᎤᏙᏓ ᎤᏤᎵ ᏓᏆᎴᎳ <u>ᎠᎯᎴᎭ</u>.","ᎠᎯᎴᎭ","jiileha","ᏥᎢᎴᎭ","-----","-----","uhilvsdi","ᎤᎯᎸᏍᏗ","-----","-----","ahilehoi","ᎠᎯᎴᎰᎢ","ahileha","","udoda utseli daqualela ahileha","tsiileha","","uhilvsdi","","ahilehoi","a1hi.?3le2ha","","ji.2?i.3le2ha","-----","u2hi.?2lv1sdi","-----","a1hi.?3le1ho3?i","ced","","","","","2018-12-22 15:42:27"
72350,1,"ahilvsdii","he's driving it (vehicle in motion or animal)","ahili","","","vt","<u>He's driving</u> the cattle toward the pasture.","Dlogesi didla <u>dahili</u> wahga.","ᏠᎨᏏ ᏗᏜ <u>ᏓᎯᎵ</u> ᏩᎦ.","ᎠᎯᎵ","jiili","ᏥᎢᎵ","-----","-----","uhilvsdi","ᎤᎯᎸᏍᏗ","uhilvsvi","ᎤᎯᎸᏒᎢ","ahilisoi","ᎠᎯᎵᏐᎢ","ahili","","tlogesi didla dahili waga","tsiili","","uhilvsdi","uhilvsvi","ahilisoi","a1hi.?3li","","ji.2?i.3li","-----","u2hi?2lv1sdi","u1hi.?3lv3sv23?i","a1hi.?3li3so3?i","ced","","","","","2018-12-22 15:42:27"
72351,1,"ahili","steering wheel","ahilvsdii","dihilvsdii","ᏗᎯᎸᏍᏗᎢ","n","Something happened to the <u>steering wheel</u>.","Gohusdi galsda <u>ahilvsdii</u>.","ᎪᎱᏍᏗ ᎦᎵᏍᏓ <u>ᎠᎯᎸᏍᏗᎢ</u>.","ᎠᎯᎸᏍᏗᎢ","","","","","","","","","","","ahilvsdii","dihilvsdii","gohusdi galisda ahilvsdii","","","","","","a.2hi.?2lv1sdi4?i","di2hi.?2lv1sdi4?i","","","","","","ced","","","","","2018-12-22 15:42:27"
72353,3,"adisiyaa, gakahiyaa, ganehiyaa, ganiyaa","he's leaving it behind","ahiyaa","","","vt","<u>Leave</u> the car when you go back.","<u>Hihiyvi</u> na dagwalela ihahnigisvi.","<u>ᎯᎯᏴᎢ</u> Ꮎ ᏓᏆᎴᎳ ᎢᎭᏂᎩᏒᎢ.","ᎠᎯᏯᎠ","jiiyaa","ᏥᎢᏯᎠ","hihiya","ᎯᎯᏯ","uhiyasdi","ᎤᎯᏯᏍᏗ","uhiyvi","ᎤᎯᏴᎢ","ahiyasgoi","ᎠᎯᏯᏍᎪᎢ","ahiyaa","","hihiyvi na daqualela ihanigisvi","tsiiyaa","hihiya","uhiyasdi","uhiyvi","ahiyasgoi","a1hi2ya.3?a","","ji.2?i2ya.3?a","hi.2hi23ya","u2hi34ya32sdi","u1hi3yv23?i","a1hi2ya32sgo3?i","ced","","","","","2018-12-22 15:42:27"
72354,4,"ahlohdi","he's placing it on something","ahlahvsga",,,"vt","<u>Put</u> the bottle <u>on</u> the table.","Gasgilv <u>hihlahvga</u> na gugu.","ᎦᏍᎩᎸ <u>ᎯᏝᎲᎦ</u> Ꮎ ᎫᎫ.","ᎠᏝᎲᏍᎦ","jihlahvsga","ᏥᏝᎲᏍᎦ","hihlahvga","ᎯᏝᎲᎦ","uhlohdi","ᎤᏠᏗ","uhlahnvi","ᎤᏝᏅᎢ","ahlahvsgoi","ᎠᏝᎲᏍᎪᎢ","atlahvsga",,"gasgilv hitlahvga na gugu","tsitlahvsga","hitlahvga","utlodi","utlahvsga","atlahvsgoi","a1hla.2hv.3sga",,"ji1hla.2hv.3sga","hi.2hla.2hv1ga","u2hloh2di","u1hla.2hv23?sga","a1hla.2hv.3sgo.3?i","ced",,,"","","2020-08-15 13:26:30"
72355,3,"ahlawidisgi, ahlawitdiha","he's taking off flying, its flying away","ahlawidiha","","","vi","When something scares a bird, <u>it flies away</u>.","Gohusdi yusgasdanela jisgwa, <u>ahlawdisgoi</u>.","ᎪᎱᏍᏗ ᏳᏍᎦᏍᏓᏁᎳ ᏥᏍᏆ, <u>ᎠᏝᏫᏗᏍᎪᎢ</u>.","ᎠᏝᏫᏗᎭ","gadlawidiha","ᎦᏜᏫᏗᎭ","hahlawida","ᎭᏝᏫᏓ","uhlawitdi","ᎤᏝᏫᏘᏗ","uhlawidvhvi","ᎤᏝᏫᏛᎲᎢ","ahlawidisgoi","ᎠᏝᏫᏗᏍᎪᎢ","atlawidiha","","gohusdi yusgasdanela tsisqua, <u>atlawidisgoi</u>.","gadlawidiha","hatlawida","utlawitidi","utlawitvhvi","atlawidisgoi","a1hla.2wi2di.3ha","","ga.2dla.2wi2di.3ha","ha.2hla.2wi23da","u2hla.2wi2tdi","u2hla.2wi2dv2hv23?i","a1hla2wi2di23sgo.3?i","ced","","","","","2019-12-09 12:15:52"
72356,3,"ahlawidiha, ahlawitdiha","something that flies away","ahlawidisgi","dihlawidisgi","ᏗᏝᏫᏗᏍᎩ","n","Do you want <u>something that flies</u>?","Gohusdis <u>ahlawidisgi</u> jaduli?","ᎪᎱᏍᏗᏍ <u>ᎠᏝᏫᏗᏍᎩ</u> ᏣᏚᎵ?","ᎠᏝᏫᏗᏍᎩ","","","","","","","","","","","atlawidisgi","ditlawidisgi","gohusdi atlawidisgi tsatuli","","","","","","a.2hla.2wi2di4sgi","di2hla.2wi2di4sgi","","","","","","ced","","","","","2018-12-22 15:42:28"
72357,3,"ahlawidiha, ahlawitdisgi","he's making him, it fly","ahlawitdiha","","","vt","He likes <u>to fly</u> a toy airplane.","Jiyu dinehldohdi ulvkwdi <u>uhlawitdohdi</u>.","ᏥᏳ ᏗᏁᏟᏙᏗ ᎤᎸᏉᏗ <u>ᎤᏝᏫᏘᏙᏗ</u>.","ᎠᏝᏫᏘᏗᎭ","jiyadlawitdiha, gadlawitdiha","ᏥᏯᏜᏫᏘᏗᎭ, ᎦᏜᏫᏘᏗᎭ","hiyadlawitda, hahlawitda","ᎯᏯᏜᏫᏘᏓ, ᎭᏝᏫᏘᏓ","uhlawitdohdi","ᎤᏝᏫᏘᏙᏗ","uhlawitdanvi","ᎤᏝᏫᏘᏓᏅᎢ","ahlawitdisgoi","ᎠᏝᏫᏘᏗᏍᎪᎢ","atlatidiha","","tsiyu dinetlidodi ulvquodi utlawitidodi","","","utlawitidodi","utlawitidanvi","","a1hla.2wi2tdi.3ha","","ji2ya.2dla.2wi2tdi.3ha, ga.2dla.2wi2tdi.3ha","hi2ya.2dla.2wi2tda, hahlawitda","u2hla.2wi2tdo.h3di","u1hla.2wi2tda.3nv3?i","a1hla.2wi2tdi23sgo.3?i","ced","","","","","2018-12-22 15:42:28"
72358,3,"jiyu dihlawitdisgi","person who makes it fly","ahlawitdisgi","anahlawitdisgi","ᎠᎾᏝᏫᏘᏗᏍᎩ","n","Are <u>you the one who</u> flies this plane?","Nihis <u>hahlawitdisgi</u> hia jiyu?","ᏂᎯᏍ <u>ᎭᏝᏫᏘᏗᏍᎩ</u> ᎯᎠ ᏥᏳ?","ᎠᏝᏫᏘᏗᏍᎩ","","","","","","","","","","","atlawitidisgi","anatlawitidisgi","nihis hatlawitidisgi hia tsiyu","","","","","","a.2hla.2wi2tdi4sgi","a.2na.2hla.2wi2tdi4sgi","","","","","","ced","","","","","2018-12-22 15:42:28"
